State,Annual Salary,Monthly Pay,Weekly Pay,Hourly Wage
Washington,"$115,300 ","$9,608 ","$2,217 ",$55.43 
Delaware,"$108,000 ","$9,000 ","$2,076 ",$51.92 
Virginia,"$106,140 ","$8,845 ","$2,041 ",$51.03 
Maryland,"$104,520 ","$8,710 ","$2,010 ",$50.25 
New York,"$104,389 ","$8,699 ","$2,007 ",$50.19 
Vermont,"$102,235 ","$8,519 ","$1,966 ",$49.15 
Nebraska,"$102,077 ","$8,506 ","$1,963 ",$49.08 
Oklahoma,"$98,854 ","$8,237 ","$1,901 ",$47.53 
California,"$98,699 ","$8,224 ","$1,898 ",$47.45 
Massachusetts,"$97,492 ","$8,124 ","$1,874 ",$46.87 
Alaska,"$96,628 ","$8,052 ","$1,858 ",$46.46 
Maine,"$96,141 ","$8,011 ","$1,848 ",$46.22 
Pennsylvania,"$95,618 ","$7,968 ","$1,838 ",$45.97 
Oregon,"$95,305 ","$7,942 ","$1,832 ",$45.82 
North Dakota,"$95,265 ","$7,938 ","$1,832 ",$45.80 
Idaho,"$94,604 ","$7,883 ","$1,819 ",$45.48 
New Jersey,"$94,548 ","$7,879 ","$1,818 ",$45.46 
Texas,"$94,139 ","$7,844 ","$1,810 ",$45.26 
Colorado,"$93,523 ","$7,793 ","$1,798 ",$44.96 
Hawaii,"$93,485 ","$7,790 ","$1,797 ",$44.95 
Wisconsin,"$93,403 ","$7,783 ","$1,796 ",$44.91 
New Hampshire,"$93,120 ","$7,760 ","$1,790 ",$44.77 
Wyoming,"$91,400 ","$7,616 ","$1,757 ",$43.94 
Nevada,"$91,366 ","$7,613 ","$1,757 ",$43.93 
South Dakota,"$90,036 ","$7,503 ","$1,731 ",$43.29 
Indiana,"$90,013 ","$7,501 ","$1,731 ",$43.28 
Minnesota,"$89,950 ","$7,495 ","$1,729 ",$43.25 
New Mexico,"$89,727 ","$7,477 ","$1,725 ",$43.14 
Rhode Island,"$88,275 ","$7,356 ","$1,697 ",$42.44 
Arizona,"$88,152 ","$7,346 ","$1,695 ",$42.38 
Ohio,"$87,511 ","$7,292 ","$1,682 ",$42.07 
Montana,"$86,823 ","$7,235 ","$1,669 ",$41.74 
Connecticut,"$86,287 ","$7,190 ","$1,659 ",$41.48 
Illinois,"$86,269 ","$7,189 ","$1,659 ",$41.48 
Iowa,"$85,818 ","$7,151 ","$1,650 ",$41.26 
Alabama,"$85,739 ","$7,144 ","$1,648 ",$41.22 
Mississippi,"$85,536 ","$7,128 ","$1,644 ",$41.12 
Tennessee,"$83,549 ","$6,962 ","$1,606 ",$40.17 
Utah,"$83,487 ","$6,957 ","$1,605 ",$40.14 
Missouri,"$83,310 ","$6,942 ","$1,602 ",$40.05 
South Carolina,"$82,451 ","$6,870 ","$1,585 ",$39.64 
North Carolina,"$80,749 ","$6,729 ","$1,552 ",$38.82 
Kansas,"$80,533 ","$6,711 ","$1,548 ",$38.72 
Georgia,"$79,873 ","$6,656 ","$1,536 ",$38.40 
Louisiana,"$78,535 ","$6,544 ","$1,510 ",$37.76 
Michigan,"$77,503 ","$6,458 ","$1,490 ",$37.26 
Kentucky,"$77,431 ","$6,452 ","$1,489 ",$37.23 
West Virginia,"$73,847 ","$6,153 ","$1,420 ",$35.50 
Arkansas,"$73,616 ","$6,134 ","$1,415 ",$35.39 
Florida,"$70,687 ","$5,890 ","$1,359 ",$33.98 
